Customer,FR_Intake,TP_Intake,DFL_Intake,Register_update_intake,Total_intake,FR_Output,TP_Output,DFL_Output,Register_update_output,Total_output,FR_requests_for_information,TP_requests_for_information,DFL_requests_for_information,Register_update_requests_for_information,Total_requests_for_information
"1st Stop Financial","0","0","0","465","465","0","0","0","485","485","0","0","0","28","28"
"A Shade Greener","0","14","0","253","267","0","8","0","248","256","0","4","0","10","14"
"A V Rillo & Co","5","13","5","235","258","2","1","1","147","151","1","1","0","39","41"
"Abbey National PLC","0","0","0","15369","15369","0","0","0","14649","14649","0","0","0","0","0"
"Abensons & Co","5","13","9","198","225","1","1","8","139","149","0","0","6","48","54"
"Aberdein Considine & Company","0","2","0","992","994","0","0","0","629","629","0","0","0","40","40"
"Accord Mortgages Limited","0","0","0","3299","3299","0","0","0","3133","3133","0","0","0","0","0"
"Acenden Limited","0","0","0","2724","2724","0","0","0","2597","2597","0","0","0","3","3"
"Ackland & Co","2","152","0","85","239","0","13","0","17","30","0","12","0","4","16"
"Adams & Remers","1","25","8","228","262","0","6","2","137","145","0","4","2","30","36"
"Addleshaw Goddard","5","40","28","786","859","1","14","5","432","452","0","6","4","33","43"
"Advantage Property Lawyers","21","17","52","949","1039","1","3","15","890","909","1","1","12","120","134"
"Aldermore Bank PLC","0","0","0","852","852","0","0","0","658","658","0","0","0","0","0"
"Alexander Grace Law Limited","9","7","14","352","382","2","1","2","212","217","1","1","2","56","60"
"Alexander JLO","1","111","30","148","290","0","21","0","55","76","0","13","0","17","30"
"Allchurch Property Lawyers Limited","0","176","1","1050","1227","0","14","0","360","374","0","9","0","22","31"
"Amphlett Lissimore","0","40","4","270","314","0","17","3","171","191","0","5","2","46","53"
"Andrew & Andrew","7","9","7","200","223","2","1","3","141","147","1","1","3","42","47"
"Angel Wilkins LLP","4","21","17","202","244","0","4","7","144","155","0","3","6","31","40"
"Angela Viney Conveyancing Services","9","3","13","177","202","2","0","1","113","116","1","0","1","25","27"
"Ansons","5","13","24","152","194","5","6","5","118","134","3","4","5","29","41"
"Anthony Collins","2","7","153","729","891","2","16","74","367","459","1","11","58","15","85"
"Aperture Debt Solutions LLP","0","0","0","627","627","0","0","0","719","719","0","0","0","20","20"
"Apex ABS Limited","1","21","16","228","266","0","4","6","179","189","0","4","6","46","56"
"Ashfords","31","51","57","610","749","6","8","15","414","443","2","6","9","68","85"
"Ashtons Legal","15","19","48","164","246","2","2","24","118","146","2","1","7","26","36"
"Ashurst LLP","3","23","2","267","295","1","7","4","323","335","0","5","2","10","17"
"AST Hampsons","3","34","43","179","259","0","3","8","125","136","0","2","7","25","34"
"Atom Bank PLC","0","0","0","318","318","0","0","0","164","164","0","0","0","0","0"
"Attwells","3","12","14","255","284","0","7","6","192","205","0","1","4","47","52"
"Aviva Equity Release (uk) Limited","0","0","0","1057","1057","0","0","0","1034","1034","0","0","0","0","0"
"Awb Charlesworth","3","3","17","170","193","3","1","3","133","140","1","0","3","24","28"
"Awdry Bailey & Douglas","13","11","28","235","287","4","4","8","205","221","1","4","6","37","48"
"Axiom Stone London LTD","0","30","5","219","254","0","7","0","195","202","0","6","0","38","44"
"Band Hatton Button LLP","6","23","25","246","300","1","1","3","125","130","1","1","3","16","21"
"Bank Of Ireland","0","0","0","3916","3916","0","0","0","3316","3316","0","0","0","0","0"
"Bank Of Scotland","0","0","0","293","293","0","0","0","259","259","0","0","0","0","0"
"Banner Jones Limited","18","16","53","347","434","5","6","12","176","199","2","5","6","27","40"
"Bannister Preston","9","10","94","285","398","1","2","15","200","218","1","1","12","37","51"
"Barclays Bank PLC","0","0","0","1010","1010","0","0","0","764","764","0","0","0","1","1"
"Barclays Bank UK PLC","0","0","0","17456","17456","0","0","0","15647","15647","0","0","0","2","2"
"Barclays Security Trustee LTD","0","0","0","747","747","0","0","0","650","650","0","0","0","1","1"
"Barlow Robbins","0","11","4","192","207","0","3","1","105","109","0","1","1","17","19"
"Barnes & Partners","3","24","12","225","264","1","8","8","146","163","1","7","7","21","36"
"Bartons","4","22","15","171","212","1","3","7","79","90","0","1","4","26","31"
"Battens Solicitors Limited","8","17","19","206","250","5","3","6","129","143","3","3","5","28","39"
"BBH Legal Services Limited","2","8","6","409","425","0","0","3","284","287","0","0","3","26","29"
"BDB Pitmans","1","19","19","243","282","1","7","8","159","175","1","6","3","30","40"
"Beaumont Legal","3","12","13","1139","1167","1","5","11","989","1006","0","3","7","135","145"
"Bennett Oakley & Partners","1","13","12","169","195","1","2","2","121","126","0","2","2","22","26"
"Bermans LLP","2","5","1","816","824","0","1","2","583","586","0","0","2","41","43"
"Berry Smith LLP","2","7","4","322","335","0","3","1","169","173","0","2","1","37","40"
"Bevan Brittan","8","29","169","357","563","0","25","35","179","239","0","3","26","23","52"
"BG Solicitors LLP","8","9","8","165","190","2","6","7","123","138","1","3","4","25","33"
"BHW Solicitors","9","15","127","201","352","1","7","31","127","166","1","2","25","32","60"
"Birchall Blackburn","15","33","72","971","1091","1","9","12","810","832","0","8","9","134","151"
"Birkett Long LLP","8","12","7","207","234","2","2","1","166","171","1","2","1","23","27"
"Birketts LLP","32","142","173","1045","1392","3","20","36","653","712","0","13","23","118","154"
"Biscoes","11","19","16","144","190","2","4","4","101","111","0","4","2","20","26"
"Bishop & Sewell","2","135","6","323","466","1","14","1","164","180","1","8","0","30","39"
"Bishopsgate Law Limited","9","17","9","346","381","0","4","4","239","247","0","4","1","85","90"
"Blackhurst Budd Limited","4","14","11","162","191","0","3","2","71","76","0","3","1","12","16"
"Blacks Solicitors","11","51","43","851","956","1","8","10","573","592","0","6","7","141","154"
